Bot ,1732,89201094,89201122,1
Rakija ,1635,89221084,NULL,2
BananaBurek ,1314,89221125,89221140,3
Garbage Collectors ,1252,89231291,89231391,4
SpaceY ,1237,89231290,89231430,1
YuGo ,1224,89231044,89231130,2
SofElen ,1182,89221002,89221062,3
Rustberry Duo ,1135,89221056,89201013,4
Ctrl+Alt+Defeat ,958,89221303,NULL,1
Paradoxe ,902,89221337,89221049,2
dexter ,850,89191041,NULL,3
Artistic Monkeys ,757,89221077,NULL,4
BogosortBatalja ,421,89231371,89231245,4
